type,name,start,end
int,qstnum,1,5
int,occurnum,6,7
num,pewgt0,8,16
num,pewgt1,17,25
num,pewgt2,26,34
num,pewgt3,35,43
num,pewgt4,44,52
num,pewgt5,53,61
num,pewgt6,62,70
num,pewgt7,71,79
num,pewgt8,80,88
num,pewgt9,89,97
num,pewgt10,98,106
num,pewgt11,107,115
num,pewgt12,116,124
num,pewgt13,125,133
num,pewgt14,134,142
num,pewgt15,143,151
num,pewgt16,152,160
num,pewgt17,161,169
num,pewgt18,170,178
num,pewgt19,179,187
num,pewgt20,188,196
num,pewgt21,197,205
num,pewgt22,206,214
num,pewgt23,215,223
num,pewgt24,224,232
num,pewgt25,233,241
num,pewgt26,242,250
num,pewgt27,251,259
num,pewgt28,260,268
num,pewgt29,269,277
num,pewgt30,278,286
num,pewgt31,287,295
num,pewgt32,296,304
num,pewgt33,305,313
num,pewgt34,314,322
num,pewgt35,323,331
num,pewgt36,332,340
num,pewgt37,341,349
num,pewgt38,350,358
num,pewgt39,359,367
num,pewgt40,368,376
num,pewgt41,377,385
num,pewgt42,386,394
num,pewgt43,395,403
num,pewgt44,404,412
num,pewgt45,413,421
num,pewgt46,422,430
num,pewgt47,431,439
num,pewgt48,440,448
num,pewgt49,449,457
num,pewgt50,458,466
num,pewgt51,467,475
num,pewgt52,476,484
num,pewgt53,485,493
num,pewgt54,494,502
num,pewgt55,503,511
num,pewgt56,512,520
num,pewgt57,521,529
num,pewgt58,530,538
num,pewgt59,539,547
num,pewgt60,548,556
num,pewgt61,557,565
num,pewgt62,566,574
num,pewgt63,575,583
num,pewgt64,584,592
num,pewgt65,593,601
num,pewgt66,602,610
num,pewgt67,611,619
num,pewgt68,620,628
num,pewgt69,629,637
num,pewgt70,638,646
num,pewgt71,647,655
num,pewgt72,656,664
num,pewgt73,665,673
num,pewgt74,674,682
num,pewgt75,683,691
num,pewgt76,692,700
num,pewgt77,701,709
num,pewgt78,710,718
num,pewgt79,719,727
num,pewgt80,728,736
num,pewgt81,737,745
num,pewgt82,746,754
num,pewgt83,755,763
num,pewgt84,764,772
num,pewgt85,773,781
num,pewgt86,782,790
num,pewgt87,791,799
num,pewgt88,800,808
num,pewgt89,809,817
num,pewgt90,818,826
num,pewgt91,827,835
num,pewgt92,836,844
num,pewgt93,845,853
num,pewgt94,854,862
num,pewgt95,863,871
num,pewgt96,872,880
num,pewgt97,881,889
num,pewgt98,890,898
num,pewgt99,899,907
num,pewgt100,908,916
num,pewgt101,917,925
num,pewgt102,926,934
num,pewgt103,935,943
num,pewgt104,944,952
num,pewgt105,953,961
num,pewgt106,962,970
num,pewgt107,971,979
num,pewgt108,980,988
num,pewgt109,989,997
num,pewgt110,998,1006
num,pewgt111,1007,1015
num,pewgt112,1016,1024
num,pewgt113,1025,1033
num,pewgt114,1034,1042
num,pewgt115,1043,1051
num,pewgt116,1052,1060
num,pewgt117,1061,1069
num,pewgt118,1070,1078
num,pewgt119,1079,1087
num,pewgt120,1088,1096
num,pewgt121,1097,1105
num,pewgt122,1106,1114
num,pewgt123,1115,1123
num,pewgt124,1124,1132
num,pewgt125,1133,1141
num,pewgt126,1142,1150
num,pewgt127,1151,1159
num,pewgt128,1160,1168
num,pewgt129,1169,1177
num,pewgt130,1178,1186
num,pewgt131,1187,1195
num,pewgt132,1196,1204
num,pewgt133,1205,1213
num,pewgt134,1214,1222
num,pewgt135,1223,1231
num,pewgt136,1232,1240
num,pewgt137,1241,1249
num,pewgt138,1250,1258
num,pewgt139,1259,1267
num,pewgt140,1268,1276
num,pewgt141,1277,1285
num,pewgt142,1286,1294
num,pewgt143,1295,1303
num,pewgt144,1304,1312
num,pewgt145,1313,1321
num,pewgt146,1322,1330
num,pewgt147,1331,1339
num,pewgt148,1340,1348
num,pewgt149,1349,1357
num,pewgt150,1358,1366
num,pewgt151,1367,1375
num,pewgt152,1376,1384
num,pewgt153,1385,1393
num,pewgt154,1394,1402
num,pewgt155,1403,1411
num,pewgt156,1412,1420
num,pewgt157,1421,1429
num,pewgt158,1430,1438
num,pewgt159,1439,1447
num,pewgt160,1448,1456
