type,name,start,end
int,qstnum,1,5
int,occurnum,6,7
num,rewgt0,8,17
num,rewgt1,18,27
num,rewgt2,28,37
num,rewgt3,38,47
num,rewgt4,48,57
num,rewgt5,58,67
num,rewgt6,68,77
num,rewgt7,78,87
num,rewgt8,88,97
num,rewgt9,98,107
num,rewgt10,108,117
num,rewgt11,118,127
num,rewgt12,128,137
num,rewgt13,138,147
num,rewgt14,148,157
num,rewgt15,158,167
num,rewgt16,168,177
num,rewgt17,178,187
num,rewgt18,188,197
num,rewgt19,198,207
num,rewgt20,208,217
num,rewgt21,218,227
num,rewgt22,228,237
num,rewgt23,238,247
num,rewgt24,248,257
num,rewgt25,258,267
num,rewgt26,268,277
num,rewgt27,278,287
num,rewgt28,288,297
num,rewgt29,298,307
num,rewgt30,308,317
num,rewgt31,318,327
num,rewgt32,328,337
num,rewgt33,338,347
num,rewgt34,348,357
num,rewgt35,358,367
num,rewgt36,368,377
num,rewgt37,378,387
num,rewgt38,388,397
num,rewgt39,398,407
num,rewgt40,408,417
num,rewgt41,418,427
num,rewgt42,428,437
num,rewgt43,438,447
num,rewgt44,448,457
num,rewgt45,458,467
num,rewgt46,468,477
num,rewgt47,478,487
num,rewgt48,488,497
num,rewgt49,498,507
num,rewgt50,508,517
num,rewgt51,518,527
num,rewgt52,528,537
num,rewgt53,538,547
num,rewgt54,548,557
num,rewgt55,558,567
num,rewgt56,568,577
num,rewgt57,578,587
num,rewgt58,588,597
num,rewgt59,598,607
num,rewgt60,608,617
num,rewgt61,618,627
num,rewgt62,628,637
num,rewgt63,638,647
num,rewgt64,648,657
num,rewgt65,658,667
num,rewgt66,668,677
num,rewgt67,678,687
num,rewgt68,688,697
num,rewgt69,698,707
num,rewgt70,708,717
num,rewgt71,718,727
num,rewgt72,728,737
num,rewgt73,738,747
num,rewgt74,748,757
num,rewgt75,758,767
num,rewgt76,768,777
num,rewgt77,778,787
num,rewgt78,788,797
num,rewgt79,798,807
num,rewgt80,808,817
num,rewgt81,818,827
num,rewgt82,828,837
num,rewgt83,838,847
num,rewgt84,848,857
num,rewgt85,858,867
num,rewgt86,868,877
num,rewgt87,878,887
num,rewgt88,888,897
num,rewgt89,898,907
num,rewgt90,908,917
num,rewgt91,918,927
num,rewgt92,928,937
num,rewgt93,938,947
num,rewgt94,948,957
num,rewgt95,958,967
num,rewgt96,968,977
num,rewgt97,978,987
num,rewgt98,988,997
num,rewgt99,998,1007
num,rewgt100,1008,1017
num,rewgt101,1018,1027
num,rewgt102,1028,1037
num,rewgt103,1038,1047
num,rewgt104,1048,1057
num,rewgt105,1058,1067
num,rewgt106,1068,1077
num,rewgt107,1078,1087
num,rewgt108,1088,1097
num,rewgt109,1098,1107
num,rewgt110,1108,1117
num,rewgt111,1118,1127
num,rewgt112,1128,1137
num,rewgt113,1138,1147
num,rewgt114,1148,1157
num,rewgt115,1158,1167
num,rewgt116,1168,1177
num,rewgt117,1178,1187
num,rewgt118,1188,1197
num,rewgt119,1198,1207
num,rewgt120,1208,1217
num,rewgt121,1218,1227
num,rewgt122,1228,1237
num,rewgt123,1238,1247
num,rewgt124,1248,1257
num,rewgt125,1258,1267
num,rewgt126,1268,1277
num,rewgt127,1278,1287
num,rewgt128,1288,1297
num,rewgt129,1298,1307
num,rewgt130,1308,1317
num,rewgt131,1318,1327
num,rewgt132,1328,1337
num,rewgt133,1338,1347
num,rewgt134,1348,1357
num,rewgt135,1358,1367
num,rewgt136,1368,1377
num,rewgt137,1378,1387
num,rewgt138,1388,1397
num,rewgt139,1398,1407
num,rewgt140,1408,1417
num,rewgt141,1418,1427
num,rewgt142,1428,1437
num,rewgt143,1438,1447
num,rewgt144,1448,1457
num,rewgt145,1458,1467
num,rewgt146,1468,1477
num,rewgt147,1478,1487
num,rewgt148,1488,1497
num,rewgt149,1498,1507
num,rewgt150,1508,1517
num,rewgt151,1518,1527
num,rewgt152,1528,1537
num,rewgt153,1538,1547
num,rewgt154,1548,1557
num,rewgt155,1558,1567
num,rewgt156,1568,1577
num,rewgt157,1578,1587
num,rewgt158,1588,1597
num,rewgt159,1598,1607
num,rewgt160,1608,1617
