type,name,start,end
int,qstnum,1,5
int,occurnum,6,7
num,pewgt0,8,17
num,pewgt1,18,27
num,pewgt2,28,37
num,pewgt3,38,47
num,pewgt4,48,57
num,pewgt5,58,67
num,pewgt6,68,77
num,pewgt7,78,87
num,pewgt8,88,97
num,pewgt9,98,107
num,pewgt10,108,117
num,pewgt11,118,127
num,pewgt12,128,137
num,pewgt13,138,147
num,pewgt14,148,157
num,pewgt15,158,167
num,pewgt16,168,177
num,pewgt17,178,187
num,pewgt18,188,197
num,pewgt19,198,207
num,pewgt20,208,217
num,pewgt21,218,227
num,pewgt22,228,237
num,pewgt23,238,247
num,pewgt24,248,257
num,pewgt25,258,267
num,pewgt26,268,277
num,pewgt27,278,287
num,pewgt28,288,297
num,pewgt29,298,307
num,pewgt30,308,317
num,pewgt31,318,327
num,pewgt32,328,337
num,pewgt33,338,347
num,pewgt34,348,357
num,pewgt35,358,367
num,pewgt36,368,377
num,pewgt37,378,387
num,pewgt38,388,397
num,pewgt39,398,407
num,pewgt40,408,417
num,pewgt41,418,427
num,pewgt42,428,437
num,pewgt43,438,447
num,pewgt44,448,457
num,pewgt45,458,467
num,pewgt46,468,477
num,pewgt47,478,487
num,pewgt48,488,497
num,pewgt49,498,507
num,pewgt50,508,517
num,pewgt51,518,527
num,pewgt52,528,537
num,pewgt53,538,547
num,pewgt54,548,557
num,pewgt55,558,567
num,pewgt56,568,577
num,pewgt57,578,587
num,pewgt58,588,597
num,pewgt59,598,607
num,pewgt60,608,617
num,pewgt61,618,627
num,pewgt62,628,637
num,pewgt63,638,647
num,pewgt64,648,657
num,pewgt65,658,667
num,pewgt66,668,677
num,pewgt67,678,687
num,pewgt68,688,697
num,pewgt69,698,707
num,pewgt70,708,717
num,pewgt71,718,727
num,pewgt72,728,737
num,pewgt73,738,747
num,pewgt74,748,757
num,pewgt75,758,767
num,pewgt76,768,777
num,pewgt77,778,787
num,pewgt78,788,797
num,pewgt79,798,807
num,pewgt80,808,817
num,pewgt81,818,827
num,pewgt82,828,837
num,pewgt83,838,847
num,pewgt84,848,857
num,pewgt85,858,867
num,pewgt86,868,877
num,pewgt87,878,887
num,pewgt88,888,897
num,pewgt89,898,907
num,pewgt90,908,917
num,pewgt91,918,927
num,pewgt92,928,937
num,pewgt93,938,947
num,pewgt94,948,957
num,pewgt95,958,967
num,pewgt96,968,977
num,pewgt97,978,987
num,pewgt98,988,997
num,pewgt99,998,1007
num,pewgt100,1008,1017
num,pewgt101,1018,1027
num,pewgt102,1028,1037
num,pewgt103,1038,1047
num,pewgt104,1048,1057
num,pewgt105,1058,1067
num,pewgt106,1068,1077
num,pewgt107,1078,1087
num,pewgt108,1088,1097
num,pewgt109,1098,1107
num,pewgt110,1108,1117
num,pewgt111,1118,1127
num,pewgt112,1128,1137
num,pewgt113,1138,1147
num,pewgt114,1148,1157
num,pewgt115,1158,1167
num,pewgt116,1168,1177
num,pewgt117,1178,1187
num,pewgt118,1188,1197
num,pewgt119,1198,1207
num,pewgt120,1208,1217
num,pewgt121,1218,1227
num,pewgt122,1228,1237
num,pewgt123,1238,1247
num,pewgt124,1248,1257
num,pewgt125,1258,1267
num,pewgt126,1268,1277
num,pewgt127,1278,1287
num,pewgt128,1288,1297
num,pewgt129,1298,1307
num,pewgt130,1308,1317
num,pewgt131,1318,1327
num,pewgt132,1328,1337
num,pewgt133,1338,1347
num,pewgt134,1348,1357
num,pewgt135,1358,1367
num,pewgt136,1368,1377
num,pewgt137,1378,1387
num,pewgt138,1388,1397
num,pewgt139,1398,1407
num,pewgt140,1408,1417
num,pewgt141,1418,1427
num,pewgt142,1428,1437
num,pewgt143,1438,1447
num,pewgt144,1448,1457
num,pewgt145,1458,1467
num,pewgt146,1468,1477
num,pewgt147,1478,1487
num,pewgt148,1488,1497
num,pewgt149,1498,1507
num,pewgt150,1508,1517
num,pewgt151,1518,1527
num,pewgt152,1528,1537
num,pewgt153,1538,1547
num,pewgt154,1548,1557
num,pewgt155,1558,1567
num,pewgt156,1568,1577
num,pewgt157,1578,1587
num,pewgt158,1588,1597
num,pewgt159,1598,1607
num,pewgt160,1608,1617
