type,name,start,end
int,qstnum,1,5
int,occurnum,6,7
num,rewgt0,8,16
num,rewgt1,17,25
num,rewgt2,26,34
num,rewgt3,35,43
num,rewgt4,44,52
num,rewgt5,53,61
num,rewgt6,62,70
num,rewgt7,71,79
num,rewgt8,80,88
num,rewgt9,89,97
num,rewgt10,98,106
num,rewgt11,107,115
num,rewgt12,116,124
num,rewgt13,125,133
num,rewgt14,134,142
num,rewgt15,143,151
num,rewgt16,152,160
num,rewgt17,161,169
num,rewgt18,170,178
num,rewgt19,179,187
num,rewgt20,188,196
num,rewgt21,197,205
num,rewgt22,206,214
num,rewgt23,215,223
num,rewgt24,224,232
num,rewgt25,233,241
num,rewgt26,242,250
num,rewgt27,251,259
num,rewgt28,260,268
num,rewgt29,269,277
num,rewgt30,278,286
num,rewgt31,287,295
num,rewgt32,296,304
num,rewgt33,305,313
num,rewgt34,314,322
num,rewgt35,323,331
num,rewgt36,332,340
num,rewgt37,341,349
num,rewgt38,350,358
num,rewgt39,359,367
num,rewgt40,368,376
num,rewgt41,377,385
num,rewgt42,386,394
num,rewgt43,395,403
num,rewgt44,404,412
num,rewgt45,413,421
num,rewgt46,422,430
num,rewgt47,431,439
num,rewgt48,440,448
num,rewgt49,449,457
num,rewgt50,458,466
num,rewgt51,467,475
num,rewgt52,476,484
num,rewgt53,485,493
num,rewgt54,494,502
num,rewgt55,503,511
num,rewgt56,512,520
num,rewgt57,521,529
num,rewgt58,530,538
num,rewgt59,539,547
num,rewgt60,548,556
num,rewgt61,557,565
num,rewgt62,566,574
num,rewgt63,575,583
num,rewgt64,584,592
num,rewgt65,593,601
num,rewgt66,602,610
num,rewgt67,611,619
num,rewgt68,620,628
num,rewgt69,629,637
num,rewgt70,638,646
num,rewgt71,647,655
num,rewgt72,656,664
num,rewgt73,665,673
num,rewgt74,674,682
num,rewgt75,683,691
num,rewgt76,692,700
num,rewgt77,701,709
num,rewgt78,710,718
num,rewgt79,719,727
num,rewgt80,728,736
num,rewgt81,737,745
num,rewgt82,746,754
num,rewgt83,755,763
num,rewgt84,764,772
num,rewgt85,773,781
num,rewgt86,782,790
num,rewgt87,791,799
num,rewgt88,800,808
num,rewgt89,809,817
num,rewgt90,818,826
num,rewgt91,827,835
num,rewgt92,836,844
num,rewgt93,845,853
num,rewgt94,854,862
num,rewgt95,863,871
num,rewgt96,872,880
num,rewgt97,881,889
num,rewgt98,890,898
num,rewgt99,899,907
num,rewgt100,908,916
num,rewgt101,917,925
num,rewgt102,926,934
num,rewgt103,935,943
num,rewgt104,944,952
num,rewgt105,953,961
num,rewgt106,962,970
num,rewgt107,971,979
num,rewgt108,980,988
num,rewgt109,989,997
num,rewgt110,998,1006
num,rewgt111,1007,1015
num,rewgt112,1016,1024
num,rewgt113,1025,1033
num,rewgt114,1034,1042
num,rewgt115,1043,1051
num,rewgt116,1052,1060
num,rewgt117,1061,1069
num,rewgt118,1070,1078
num,rewgt119,1079,1087
num,rewgt120,1088,1096
num,rewgt121,1097,1105
num,rewgt122,1106,1114
num,rewgt123,1115,1123
num,rewgt124,1124,1132
num,rewgt125,1133,1141
num,rewgt126,1142,1150
num,rewgt127,1151,1159
num,rewgt128,1160,1168
num,rewgt129,1169,1177
num,rewgt130,1178,1186
num,rewgt131,1187,1195
num,rewgt132,1196,1204
num,rewgt133,1205,1213
num,rewgt134,1214,1222
num,rewgt135,1223,1231
num,rewgt136,1232,1240
num,rewgt137,1241,1249
num,rewgt138,1250,1258
num,rewgt139,1259,1267
num,rewgt140,1268,1276
num,rewgt141,1277,1285
num,rewgt142,1286,1294
num,rewgt143,1295,1303
num,rewgt144,1304,1312
num,rewgt145,1313,1321
num,rewgt146,1322,1330
num,rewgt147,1331,1339
num,rewgt148,1340,1348
num,rewgt149,1349,1357
num,rewgt150,1358,1366
num,rewgt151,1367,1375
num,rewgt152,1376,1384
num,rewgt153,1385,1393
num,rewgt154,1394,1402
num,rewgt155,1403,1411
num,rewgt156,1412,1420
num,rewgt157,1421,1429
num,rewgt158,1430,1438
num,rewgt159,1439,1447
num,rewgt160,1448,1456
