type,name,start,end
int,qstnum,1,5
int,occurnum,12,13
int,neio1icd,14,17
int,neio1cow,18,19
int,neio2cow,20,21
int,neio2icd,22,25
int,nragna,28,29
int,nrcow1,30,31
int,nrcow2,32,33
int,nrcowpg,34,35
int,nrdtcow1,36,37
int,nrdtcow2,38,39
int,nrdtind1,40,41
int,nrdtind2,42,43
int,nrdtocc1,44,45
int,nrdtocc2,46,47
int,nremp,48,49
int,nrmjind1,50,51
int,nrmjind2,52,53
int,nrmjocc1,54,55
int,nrmjocc2,56,57
int,nrmjocgr,58,59
int,nrnagpws,60,61
int,nrnagws,62,63
int,nrsjmj,64,65
int,ntio1ocd,66,69
int,ntio2ocd,70,73
num,nwcmpwgt,74,83
num,nworwgt,84,93
num,nwsswgt,94,103
int,nxio1cow,104,105
int,nxio1icd,106,107
int,nxio1ocd,108,109
int,nxio2cow,110,111
int,nxio2icd,112,113
int,nxio2ocd,114,115
int,neerncov,116,117
int,neernlab,118,119
